figure_number,figure_title,png_path,pdf_path,png_size_bytes,pdf_size_bytes,methods_shown,status
1,Overall core metrics,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig1_overall_core_metrics_whole_test.png,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig1_overall_core_metrics_whole_test.pdf,130668,17586,"rpf-ReID, Normal part-OCLReID, Gated part-OCLReID",PNG opens 2940x1500; PDF non-empty and has PDF header
2,Selected-scenario core metrics,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig2_selected_scenario_core_metrics.png,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig2_selected_scenario_core_metrics.pdf,164946,19923,"rpf-ReID, Normal part-OCLReID, Gated part-OCLReID",PNG opens 4440x1380; PDF non-empty and has PDF header
3a,Overall camera core metrics,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig3_overall_camera_core_metrics.png,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig3_overall_camera_core_metrics.pdf,212896,21568,"rpf-ReID, Normal part-OCLReID, Gated part-OCLReID",PNG opens 4620x1380; PDF non-empty and has PDF header
3b,Selected camera core metrics,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig3_selected_camera_core_metrics.png,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig3_selected_camera_core_metrics.pdf,212896,21568,"rpf-ReID, Normal part-OCLReID, Gated part-OCLReID",PNG opens 4620x1380; PDF non-empty and has PDF header
4,Improvement over rpf-ReID,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig4_improvement_over_rpf_whole_test.png,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig4_improvement_over_rpf_whole_test.pdf,162787,17761,"Normal part-OCLReID, Gated part-OCLReID",PNG opens 2640x1380; PDF non-empty and has PDF header
5,ZED-front qualitative examples,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig5_zed_front_qualitative_examples.png,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig5_zed_front_qualitative_examples.pdf,4839554,6365477,"rpf-ReID, Normal part-OCLReID",PNG opens 2820x3105; PDF non-empty and has PDF header
6,Human-count core metrics,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig6_human_count_core_metrics.png,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig6_human_count_core_metrics.pdf,167993,19559,"rpf-ReID, Normal part-OCLReID, Gated part-OCLReID",PNG opens 4140x1380; PDF non-empty and has PDF header
7,Robot-motion core metrics,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig7_robot_motion_core_metrics.png,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig7_robot_motion_core_metrics.pdf,140264,19202,"rpf-ReID, Normal part-OCLReID, Gated part-OCLReID",PNG opens 3540x1380; PDF non-empty and has PDF header
8,Front-fisheye qualitative examples,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig8_front_fisheye_qualitative_examples.png,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig8_front_fisheye_qualitative_examples.pdf,5977311,9130978,"rpf-ReID, Normal part-OCLReID",PNG opens 2820x3105; PDF non-empty and has PDF header
9,Normal-vs-gated reassociation example,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig9_normal_vs_gated_reidentification_example.png,/home/prabuddhi/Desktop/OCLReID/results/paper_outputs_full/figures/fig9_normal_vs_gated_reidentification_example.pdf,3970809,3822719,"Normal part-OCLReID, Gated part-OCLReID",PNG opens 3780x1770; PDF non-empty and has PDF header
